CityId,DistrictId,CityName,DistrictName,MaxLentilArea,MaxBeanArea,MaxSunflowerArea,MaxChickpeaArea,MaxPotatoArea,MaxRiceArea,MaxCanolaArea,MaxSoybeanArea,MaxTomatoArea,MaxSugarbeetArea,MaxCottonArea,MaxCornArea,MaxPeanutArea,MaxBarleyArea,MaxOatArea,MaxWheatArea,MaxOnionArea
66,669,YOZGAT,KADIŞEHRİ,100.0000,100.0000,100.0000,5967.2727,100.0000,100.0000,100.0000,100.0000,100.0000,6818.1818,100.0000,100.0000,100.0000,78490.9091,100.0000,32138.1818,829.0909
71,670,KIRIKKALE,BALIŞEYH,207.2727,960.0000,3425.4545,39698.1818,100.0000,100.0000,100.0000,100.0000,109.0909,5160.0000,100.0000,100.0000,100.0000,25941.8182,100.0000,271909.0909,100.0000
19,671,ÇORUM,BOĞAZKALE,100.0000,100.0000,1516.3636,5770.9091,100.0000,100.0000,100.0000,100.0000,100.0000,2029.0909,100.0000,100.0000,100.0000,11618.1818,100.0000,51447.2727,100.0000
6,672,ANKARA,YENİMAHALLE,100.0000,100.0000,100.0000,3120.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,15480.0000,100.0000,26509.0909,100.0000
26,673,ESKİŞEHİR,MİHALIÇÇIK,100.0000,120.0000,100.0000,3709.0909,185.4545,100.0000,100.0000,100.0000,100.0000,8487.2727,100.0000,1472.7273,100.0000,85778.1818,1527.2727,94909.0909,4920.0000
4,674,AĞRI,DOĞUBAYAZIT,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,150676.3636,100.0000,309120.0000,100.0000
24,675,ERZİNCAN,REFAHİYE,100.0000,100.0000,100.0000,229.0909,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,4701.8182,1276.3636,16974.5455,100.0000
4,676,AĞRI,TAŞLIÇAY,100.0000,100.0000,100.0000,240.0000,100.0000,100.0000,100.0000,100.0000,100.0000,458.1818,100.0000,100.0000,100.0000,74901.8182,261.8182,108763.6364,100.0000
10,677,BALIKESİR,KARESİ,100.0000,152.7273,18665.4546,4047.2727,100.0000,100.0000,100.0000,100.0000,1985.4545,100.0000,100.0000,283.6364,100.0000,7854.5455,8454.5455,211112.7273,709.0909
26,678,ESKİŞEHİR,ALPU,100.0000,163.6364,12152.7273,3381.8182,3927.2727,100.0000,100.0000,100.0000,100.0000,38334.5455,100.0000,55134.5455,100.0000,113880.0000,10920.0000,131334.5455,1767.2727
24,679,ERZİNCAN,ÇAYIRLI,100.0000,17607.2727,174.5455,109.0909,3741.8182,100.0000,100.0000,100.0000,100.0000,9752.7273,100.0000,100.0000,100.0000,52047.2727,100.0000,92138.1818,100.0000
10,680,BALIKESİR,BALYA,100.0000,272.7273,100.0000,1865.4545,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,21763.6364,36130.9091,104770.9091,100.0000
26,681,ESKİŞEHİR,MİHALGAZİ,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
6,682,ANKARA,SİNCAN,100.0000,100.0000,3970.9091,54000.0000,600.0000,100.0000,100.0000,100.0000,100.0000,15807.2727,100.0000,272.7273,100.0000,148909.0909,4996.3636,167367.2727,12403.6364
17,683,ÇANAKKALE,BOZCAADA,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,894.5455,240.0000,2618.1818,100.0000
25,684,ERZURUM,PALANDÖKEN,100.0000,196.3636,100.0000,100.0000,2138.1818,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,9130.9091,100.0000,36283.6364,100.0000
24,685,ERZİNCAN,OTLUKBELİ,100.0000,436.3636,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,23847.2727,100.0000,11781.8182,100.0000
16,686,BURSA,KELES,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
58,687,SİVAS,MERKEZ,100.0000,152.7273,100.0000,774.5455,6698.1818,100.0000,100.0000,100.0000,100.0000,9763.6364,100.0000,100.0000,100.0000,90109.0909,37396.3636,325200.0000,100.0000
11,688,BİLECİK,PAZARYERİ,100.0000,360.0000,152.7273,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,3370.9091,2149.0909,24523.6364,100.0000
6,689,ANKARA,ALTINDAĞ,100.0000,100.0000,100.0000,578.1818,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,4374.5455,152.7273,12501.8182,100.0000
71,690,KIRIKKALE,DELİCE,100.0000,100.0000,807.2727,39981.8182,100.0000,100.0000,100.0000,100.0000,100.0000,2083.6364,100.0000,109.0909,100.0000,104323.6364,100.0000,307821.8182,100.0000
58,691,SİVAS,GÖLOVA,100.0000,600.0000,100.0000,643.6364,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,11465.4546,349.0909,9480.0000,100.0000
58,692,SİVAS,AKINCILAR,100.0000,1756.3636,100.0000,3021.8182,720.0000,100.0000,100.0000,100.0000,100.0000,17476.3636,100.0000,2803.6364,100.0000,31669.0909,774.5455,10483.6364,100.0000
6,693,ANKARA,AKYURT,100.0000,100.0000,100.0000,31723.6364,100.0000,100.0000,100.0000,100.0000,100.0000,261.8182,100.0000,100.0000,100.0000,56629.0909,100.0000,37821.8182,100.0000
4,694,AĞRI,ELEŞKİRT,100.0000,100.0000,100.0000,338.1818,100.0000,100.0000,100.0000,100.0000,100.0000,6458.1818,100.0000,100.0000,100.0000,126796.3636,1080.0000,173443.6364,100.0000
26,695,ESKİŞEHİR,SARICAKAYA,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,218.1818,100.0000,1440.0000,100.0000,6501.8182,100.0000
11,696,BİLECİK,İNHİSAR,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,163.6364,100.0000,2367.2727,100.0000
60,697,TOKAT,ARTOVA,100.0000,152.7273,100.0000,16887.2727,949.0909,100.0000,100.0000,100.0000,100.0000,9709.0909,100.0000,100.0000,100.0000,13625.4546,4505.4545,47301.8182,100.0000
58,698,SİVAS,YILDIZELİ,100.0000,218.1818,100.0000,4145.4545,11629.0909,100.0000,100.0000,100.0000,100.0000,34210.9091,100.0000,100.0000,100.0000,73200.0000,7516.3636,307985.4545,100.0000
16,699,BURSA,ORHANELİ,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
25,700,ERZURUM,AŞKALE,100.0000,218.1818,100.0000,512.7273,381.8182,100.0000,100.0000,100.0000,100.0000,2880.0000,100.0000,100.0000,100.0000,31756.3636,17814.5455,190429.0909,100.0000
6,701,ANKARA,PURSAKLAR,100.0000,100.0000,100.0000,10647.2727,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,19832.7273,100.0000,38290.9091,100.0000
66,702,YOZGAT,ÇEKEREK,100.0000,338.1818,130.9091,3000.0000,100.0000,100.0000,100.0000,100.0000,100.0000,480.0000,100.0000,100.0000,100.0000,14269.0909,100.0000,71181.8182,392.7273
58,703,SİVAS,ZARA,100.0000,100.0000,100.0000,490.9091,272.7273,100.0000,100.0000,100.0000,100.0000,3883.6364,100.0000,100.0000,100.0000,30578.1818,8760.0000,44607.2727,100.0000
