CityId,DistrictId,CityName,DistrictName,WheatYield,BarleyYield,OatYield,CottonYield,SoybeanYield,TomatoYield,CanolaYield,PotatoYield,SugarbeetYield,OnionYield,BeanYield,LentilYield,ChickpeaYield,PeanutYield,RiceYield,CornYield,SunflowerYield
18,865,ÇANKIRI,ATKARACALAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,866,ORDU,ÇATALPINAR,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,867,ORDU,AKKU?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
25,868,ERZURUM,?SP?R,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,869,G?RESUN,MERKEZ,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
53,870,R?ZE,?K?ZDERE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
25,871,ERZURUM,OLTU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,872,G?RESUN,GÜCE,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
36,873,KARS,SEL?M,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,874,ORDU,ÇAMA?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,875,G?RESUN,BULANCAK,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
5,877,AMASYA,TA?OVA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
28,878,G?RESUN,P?RAZ?Z,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
41,879,KOCAEL?,ÇAYIROVA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
61,880,TRABZON,MAÇKA,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
17,881,ÇANAKKALE,GEL?BOLU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
18,882,ÇANKIRI,KUR?UNLU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
52,883,ORDU,KUMRU,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
18,884,ÇANKIRI,ÇERKE?,292,265,278,494,442,7244,347,3514,6846,3329,271,157,123,394,782,941,292
