CityId,DistrictId,CityName,DistrictName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
33,118,MERSİN,ERDEMLİ,38630,-7570707,11279960,2340,-803088,620100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1674,33210,0,0,0,0,0,0,130,-9601,122330,0,0,0
48,119,MUĞLA,DALAMAN,15780,-3092564,4607760,2770,-950664,734050,110,-19657,30580,10,29150,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,416052,233030,30,25811,8130,0,0,0,30,186,3690,0,0,0,0,0,0,1090,-80497,1025690,2010,1759393,586920
63,120,ŞANLIURFA,SURUÇ,4430,-868191,1293560,36260,-12444432,9608900,0,0,0,138410,403459614,68374540,30,-9136,13260,440,-100870,3187360,0,0,0,0,0,0,0,0,0,10,59436,33290,0,0,0,42300,6173685,6641100,440,2728,54120,0,0,0,0,0,0,101420,-7489867,95436220,0,0,0
48,122,MUĞLA,MARMARİS,890,-174422,259880,420,-144144,111300,310,-55397,86180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-739,9410,0,0,0
63,123,ŞANLIURFA,MERKEZ,0,0,0,36460,-12513072,9661900,0,0,0,139410,406374574,68868540,0,0,0,180,-41265,1303920,0,0,0,0,0,0,0,0,0,180840,1074840624,602016360,0,0,0,20120,2936514,3158840,180,1116,22140,0,0,0,0,0,0,107100,-7909335,100781100,0,0,0
63,125,ŞANLIURFA,CEYLANPINAR,482930,-94644621,141015560,6060,-2079792,1605900,0,0,0,37240,108553110,18396560,0,0,0,80,-18340,579520,0,0,0,20,32294,70280,0,0,0,1920,11411712,6391680,0,0,0,22630,3302849,3552910,0,0,0,0,0,0,0,0,0,127880,-9443938,120335080,38090,33340939,11122280
7,126,ANTALYA,KEPEZ,14440,-2829951,4216480,2570,-882024,681050,1210,-216227,336380,0,0,0,0,0,0,0,0,0,0,0,0,30,48441,105420,0,0,0,40,237744,133160,60,51623,16260,0,0,0,0,0,0,0,0,0,0,0,0,180,-13293,169380,0,0,0
33,129,MERSİN,TOROSLAR,2890,-566382,843880,400,-137280,106000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1116,22140,0,0,0,0,0,0,30,-2216,28230,0,0,0
80,130,OSMANİYE,MERKEZ,66290,-12991514,19356680,1290,-442728,341850,0,0,0,270,787039,133380,9570,-2914448,4229940,0,0,0,0,0,0,0,0,0,0,0,0,2640,15691104,8788560,0,0,0,0,0,0,80,496,9840,21120,33838464,8321280,0,0,0,55720,-4114922,52432520,11160,9768571,3258720
1,131,ADANA,SARIÇAM,183210,-35905496,53497320,1400,-480480,371000,0,0,0,5500,16032280,2717000,1800,-548172,795600,0,0,0,10,3053,3470,5870,9478289,20627180,0,0,0,5130,30490668,17077770,0,0,0,0,0,0,530,3286,65190,4840,7754648,1906960,0,0,0,8910,-658004,8384310,80160,70165651,23406720
1,132,ADANA,CEYHAN,292130,-57251637,85301960,3200,-1098240,848000,0,0,0,64530,188102369,31877820,41710,-12702363,18435820,0,0,0,0,0,0,10170,16421499,35737380,0,0,0,4920,29242512,16378680,0,0,0,0,0,0,2130,13206,261990,122920,196942424,48430480,0,0,0,340710,-25161434,320608110,144060,126098599,42065520
63,135,ŞANLIURFA,BİRECİK,1830,-358643,534360,81100,-27833520,21491500,0,0,0,0,0,0,0,0,0,260,-59605,1883440,0,0,0,0,0,0,0,0,0,70,416052,233030,0,0,0,19560,2854782,3070920,360,2232,44280,0,0,0,0,0,0,0,0,0,0,0,0
80,136,OSMANİYE,BAHÇE,9370,-1836333,2736040,2600,-892320,689000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,118872,66580,30,25811,8130,0,0,0,40,248,4920,140,224308,55160,0,0,0,400,-29540,376400,0,0,0
27,137,GAZİANTEP,NİZİP,6520,-1277790,1903840,75230,-25818936,19935950,0,0,0,2220,6471211,1096680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7730,1128194,1213610,6960,43152,856080,0,0,0,0,0,0,600,-44310,564600,1090,954099,318280
7,140,ANTALYA,AKSU,18460,-3617791,5390320,430,-147576,113950,80,-14296,22240,6430,18743193,3176420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,178308,99870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13090,-966697,12317690,0,0,0
27,142,GAZİANTEP,NURDAĞI,177570,-34800169,51850440,15290,-5247528,4051850,0,0,0,2990,8715730,1477060,740,-225360,327080,790,-181108,5722760,0,0,0,3810,6152007,13388340,16330,5092837,111795180,7360,43744896,24501440,0,0,0,1310,191195,205670,19980,123876,2457540,8610,13794942,3392340,0,0,0,11530,-851491,10849730,0,0,0
42,144,KONYA,BOZKIR,26670,-5226787,7787640,4580,-1571856,1213700,20,-3574,5560,0,0,0,0,0,0,0,0,0,0,0,0,700,1130290,2459800,0,0,0,60,356616,199740,100,86038,27100,10,1460,1570,9410,58342,1157430,0,0,0,0,0,0,10,-739,9410,0,0,0
20,145,DENİZLİ,ÇAMELİ,6010,-1177840,1754920,2770,-950664,734050,100,-17870,27800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6237,136920,30,178308,99870,1030,886191,279130,0,0,0,1180,7316,145140,0,0,0,0,0,0,580,-42833,545780,0,0,0
48,146,MUĞLA,KÖYCEĞİZ,7810,-1530604,2280520,730,-250536,193450,190,-33953,52820,0,0,0,0,0,0,30,-6877,217320,0,0,0,60,96882,210840,0,0,0,70,416052,233030,780,671096,211380,0,0,0,10,62,1230,0,0,0,0,0,0,3070,-226720,2888870,0,0,0
7,147,ANTALYA,DÖŞEMEALTI,44570,-8734829,13014440,23420,-8037744,6206300,8080,-1443896,2246240,0,0,0,0,0,0,0,0,0,0,0,0,190,306793,667660,0,0,0,120,713232,399480,80,68830,21680,0,0,0,130,806,15990,210,336462,82740,0,0,0,0,0,0,0,0,0
