CityId,CityName,WheatAreaDefault,WheatProfitDefault,WheatYieldDefault,BarleyAreaDefault,BarleyProfitDefault,BarleyYieldDefault,OatAreaDefault,OatProfitDefault,OatYieldDefault,CottonAreaDefault,CottonProfitDefault,CottonYieldDefault,SoybeanAreaDefault,SoybeanProfitDefault,SoybeanYieldDefault,TomatoAreaDefault,TomatoProfitDefault,TomatoYieldDefault,CanolaAreaDefault,CanolaProfitDefault,CanolaYieldDefault,PotatoAreaDefault,PotatoProfitDefault,PotatoYieldDefault,SugarbeetAreaDefault,SugarbeetProfitDefault,SugarbeetYieldDefault,OnionAreaDefault,OnionProfitDefault,OnionYieldDefault,BeanAreaDefault,BeanProfitDefault,BeanYieldDefault,LentilAreaDefault,LentilProfitDefault,LentilYieldDefault,ChickpeaAreaDefault,ChickpeaProfitDefault,ChickpeaYieldDefault,PeanutAreaDefault,PeanutProfitDefault,PeanutYieldDefault,RiceAreaDefault,RiceProfitDefault,RiceYieldDefault,CornAreaDefault,CornProfitDefault,CornYieldDefault,SunflowerAreaDefault,SunflowerProfitDefault,SunflowerYieldDefault
39,KIRKLARELİ,832740,-163200386,243160080,297930,-102249576,78951450,8790,-1570773,2443620,0,0,0,0,0,0,11770,-2698272,85261880,33390,10193967,11586330,580,936526,2038120,6400,1995969,43814400,7210,42853356,24002090,33450,28779712,9064950,0,0,0,580,3596,71340,0,0,0,13320,11289366,10416240,1920,-141794,1806720,464760,406813724,135709920
40,KIRŞEHİR,692910,-135796502,202329720,1198550,-411342360,317615750,15700,-2805590,4364600,0,0,0,0,0,0,630,-144428,4563720,0,0,0,8400,13563480,29517600,62180,19392078,425684280,1030,6121908,3428870,8910,7665987,2414610,5960,869863,935720,773360,4794832,95123280,0,0,0,0,0,0,910,-67204,856310,76990,67390887,22481080
41,KOCAELİ,152810,-29947702,44620520,73590,-25256088,19501350,28890,-5162643,8031420,0,0,0,0,0,0,260,-59605,1883440,0,0,0,70,113029,245980,0,0,0,90,534924,299610,570,490417,154470,0,0,0,80,496,9840,0,0,0,0,0,0,25760,-1902377,24240160,6440,5637061,1880480
42,KONYA,4992960,-978520301,1457944320,3680330,-1263089256,975287450,102040,-18234548,28367120,0,0,0,360,-109634,159120,39580,-9073715,286717520,63320,19331596,21972040,173660,280408802,610241240,1100970,343359514,7537240620,38400,228234240,127833600,209470,180223799,56766370,44530,6499157,6991210,418500,2594700,51475500,0,0,0,0,0,0,1235570,-91246851,1162671370,790460,691905447,230814320
43,KÜTAHYA,379240,-74323453,110738080,230200,-79004640,61003000,3350,-598645,931300,0,0,0,0,0,0,120,-27510,869280,10,3053,3470,3400,5489980,11947600,61840,19286040,423356640,1130,6716268,3761770,4520,3888916,1224920,10,1460,1570,19040,118048,2341920,0,0,0,0,0,0,2290,-169120,2154890,1960,1715626,572320
44,MALATYA,520230,-101954675,151907160,329900,-113221680,87423500,3610,-645107,1003580,0,0,0,0,0,0,0,0,0,0,0,0,3100,5005570,10893400,24260,7565967,166083960,2590,15393924,8622110,23310,20055457,6317010,3170,462663,497690,50760,314712,6243480,0,0,0,0,0,0,1760,-129977,1656160,0,0,0
45,MANİSA,691970,-135612281,202055240,298300,-102376560,79049500,2510,-448537,697780,88600,258265455,43768400,0,0,0,129650,-29722260,939184600,0,0,0,2160,3487752,7590240,0,0,0,1150,6835140,3828350,2060,1772382,558260,16470,2403797,2585790,13360,82832,1643280,60,96132,23640,0,0,0,154850,-11435675,145713850,220,192570,64240
46,KAHRAMANMARAŞ,872020,-170898479,254629840,464250,-159330600,123026250,110,-19657,30580,31000,90363759,15314000,14710,-4479783,6501820,4230,-969727,30642120,0,0,0,13510,21814597,47474140,68000,21207160,465528000,4630,27518868,15413270,16240,13972571,4401040,6660,972028,1045620,81280,503936,9997440,7250,11615950,2856500,70,59329,54740,292830,-21625498,275553030,8100,7090092,2365200
47,MARDİN,900710,-176521145,263007320,480230,-164814936,127260950,0,0,0,76720,223635731,37899680,1490,-453764,658580,200,-45850,1448800,0,0,0,1040,1679288,3654560,0,0,0,710,4219956,2363590,0,0,0,151530,22115805,23790210,42490,263438,5226270,0,0,0,2030,1720527,1587460,432380,-31931264,406869580,0,0,0
48,MUĞLA,281590,-55186008,82224280,54440,-18683808,14426600,15180,-2712666,4220040,7150,20841964,3532100,0,0,0,130,-29802,941720,0,0,0,4790,7734413,16832060,120,37424,821520,580,3447288,1930820,1350,1161512,365850,0,0,0,1690,10478,207870,800,1281760,315200,0,0,0,19160,-1414969,18029560,2010,1759393,586920
